fdcId,description,carbohydrate_g
323793,"Egg, white, dried",6.02
323697,"Egg, white, raw, frozen, pasteurized",0.74
329490,"Egg, whole, dried",1.87
323604,"Egg, whole, raw, frozen, pasteurized",0.91
329716,"Egg, yolk, dried",1.07
329596,"Egg, yolk, raw, frozen, pasteurized",0.59
2685577,"Eggplant, raw",5.4
747997,"Eggs, Grade A, Large, egg white",2.36
748967,"Eggs, Grade A, Large, egg whole",0.96
748236,"Eggs, Grade A, Large, egg yolk",1.02
2710827,"Einkorn, grain, dry, raw",68.7
2710828,"Farro, pearled, dry, raw",72.1
746768,"Figs, dried, uncooked",63.9
2684445,"Fish, catfish, farm raised, raw",0.0
2684444,"Fish, cod, Atlantic, wild caught, raw",0.0
333374,"Fish, haddock, raw",0.0
333476,"Fish, pollock, raw",0.0
2684441,"Fish, salmon, Atlantic, farm raised, raw",0.0
2684440,"Fish, salmon, sockeye, wild caught, raw",0.0
2684442,"Fish, tilapia, farm raised, raw",0.0
334194,"Fish, tuna, light, canned in water, drained solids",0.08
2262075,"Flaxseed, ground",34.4
2003586,"Flour, 00",74.4
2261420,"Flour, almond",16.2
2512371,"Flour, amaranth",68.8
2512376,"Flour, barley",77.4
790146,"Flour, bread, white, enriched, unbleached",72.8
2512374,"Flour, buckwheat",75.0
2512377,"Flour, cassava",87.3
2515377,"Flour, chestnut",80.5
2515382,"Flour, coconut",58.9
790276,"Flour, corn, yellow, fine meal, enriched",80.8
2261421,"Flour, oat, whole grain",69.9
1104913,"Flour, pastry, unenriched, unbleached",77.2
2261422,"Flour, potato",79.9
2512372,"Flour, quinoa",69.5
1104812,"Flour, rice, brown",75.5
1104867,"Flour, rice, glutinous",80.1
790214,"Flour, rice, white, unenriched",79.8
2512375,"Flour, rye",77.2
2003588,"Flour, semolina, coarse and semi-coarse",73.8
2003589,"Flour, semolina, fine",72.0
2512373,"Flour, sorghum",77.4
1104705,"Flour, soy, defatted",32.9
1104766,"Flour, soy, full-fat",27.9
2003587,"Flour, spelt, whole grain",70.7
789890,"Flour, wheat, all-purpose, enriched, bleached",77.3
789951,"Flour, wheat, all-purpose, enriched, unbleached",73.2
790018,"Flour, wheat, all-purpose, unenriched, unbleached",74.6
790085,"Flour, whole wheat, unenriched",71.2
2710829,"Fonio, grain, dry, raw",81.3
323121,"Frankfurter, beef, unheated",2.89
1104647,"Garlic, raw",28.2
2003592,"Grape juice, purple, with added vitamin C, from concentrate, shelf stable",15.6
2003593,"Grape juice, white, with added vitamin C, from concentrate, shelf stable",15.8
2003595,"Grapefruit juice, red, not fortified, not from concentrate, refrigerated",9.1
325287,"Grapefruit juice, white, canned or bottled, unsweetened",7.59
2346413,"Grapes, green",18.6
2346412,"Grapes, red",20.2
2727585,"Green onion, (scallion), bulb and greens, root removed, raw",
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",0.27
746952,"Ham, sliced, restaurant",2.36
321358,"Hummus",14.9
2727588,"Juice, pomegranate, from concentrate, shelf-stable",
2727587,"Juice, prune, shelf-stable",
2727589,"Juice, tart cherry, from concentrate, shelf-stable",
326196,"Kale, frozen, cooked, boiled, drained, without salt",5.3
323505,"Kale, raw",4.42
747693,"Ketchup, restaurant",26.8
2710830,"Khorasan, grain, dry, raw",71.8
2710831,"kiwi",13.8
2727570,"Lamb, ground, raw",-0.251
2727584,"Leeks, bulb and greens, root removed, raw",
2644283,"Lentils, dry",62.2
746769,"Lettuce, cos or romaine, raw",3.24
2346388,"Lettuce, iceberg, raw",3.37
2346391,"Lettuce, leaf, green, raw",4.07
2346390,"Lettuce, leaf, red, raw",3.26
2346389,"Lettuce, romaine, green, raw",4.06
2710832,"Mandarin, seedless, peeled, raw",13.4
2710834,"Mango, Ataulfo, peeled, raw",17.4
2710833,"Mango, Tommy Atkins, peeled, raw",15.3
746770,"Melons, cantaloupe, raw",8.16
2710816,"Melons, honeydew, raw",8.15
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",5.18
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",4.92
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",4.9
746782,"Milk, whole, 3.25% milkfat, with added vitamin D",4.63
2512379,"Millet, whole grain",74.4
2003603,"Mushroom, beech",6.76
2003601,"Mushroom, crimini",4.01
2003600,"Mushroom, enoki",8.14
2003599,"Mushroom, king oyster",8.5
1999626,"Mushroom, lion's mane",7.59
2003602,"Mushroom, maitake",6.6
1999627,"Mushroom, oyster",6.94
2003604,"Mushroom, pioppini",5.76
2003598,"Mushroom, portabella",4.66
1999628,"Mushrooms, shiitake",8.17
1999629,"Mushrooms, white button",4.08
326698,"Mustard, prepared, yellow",5.3
327357,"Nectarines, raw",9.18
323294,"salted almonds",16.2
2346393,"Nuts, almonds, whole, raw",20.0
2515373,"brazilnuts",21.6
2515374,"cashew nuts",36.3
2515375,"hazelnuts",26.5
2515378,"macadamia nuts",24.1
2346395,"pecans",12.7
2346392,"pine nuts",18.6
2515379,"pistachio",27.7
2346394,"walnuts",10.9
2257046,"Oat milk, unsweetened, plain, refrigerated",5.1
2346396,"Oats, whole grain, rolled, old fashioned",68.7
2346397,"Oats, whole grain, steel cut",69.8
748278,"canola oil",0
330458,"coconut Oil",0.84
748323,"corn Oil",0
1750351,"olive oil",0
1750348,"Oil, peanut",
1750350,"Oil, safflower",
748366,"Oil, soybean",
1750349,"Oil, sunflower",
332791,"Olives, green, Manzanilla, stuffed with pimiento",4.96
324317,"Onion rings",36.3
790577,"red Onion",9.93
1104962,"Onions",7.68
2003591,"Orange juice, no pulp, not fortified, from concentrate, refrigerated",10.3
2003597,"Orange juice, no pulp, not fortified, not from concentrate, refrigerated",10.0
746771,"Oranges, raw, navels",11.8
2727577,"Pawpaw, peeled, seeded, raw",
325430,"Peaches, yellow, raw",10.1
2262072,"Peanut butter, creamy",22.7
2515376,"Peanuts",26.5
2710836,"Pear, Anjou, green, with skin, raw",14.8
746773,"Pears, raw, bartlett",15.1
2644291,"Peas, green, sweet, canned, sodium added, sugar added, drained and rinsed",12.7
2258588,"green bell peppers",4.78
2258591,"orange bell peppers",6.7
2258590,"red bell peppers",6.65
2258589,"yellow bell peppers",6.6
324653,"Pickles, cucumber, dill or kosher dill",1.99
2346398,"Pineapple, raw",14.1
2710843,"Plantains, overripe, raw",29.2
2710817,"Plantains, ripe, raw",31.0
2710818,"Plantains, underripe, raw",33.6
2710837,"Plum, black, with skin, raw",13.5
2727576,"Pork, belly, with skin, raw",-0.705
2727575,"Pork, chop, center cut, raw",-0.562
749420,"Pork, cured, bacon, cooked, restaurant",2.1
2514745,"Pork, ground, raw",0.0
2646168,"Pork, loin, boneless, raw",0.0
2646169,"Pork, loin, tenderloin, boneless, raw",0.0
2346403,"Potatoes, gold, without skin, raw",16.0
2346402,"Potatoes, red, without skin, raw",16.3
2346401,"Potatoes, russet, without skin, raw",17.8
2346410,"Raspberries, raw",12.9
2710825,"black rice",77.2
2512380,"long grain brown rice",76.7
2710838,"red rice",76.2
2512381,"long grain white rice",80.3
2727580,"Rutabaga, peeled, raw",
746775,"Salt, table, iodized",0
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve",8.05
746777,"salsa",6.74
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",3.37
746780,"Sausage, Italian, pork, mild, cooked, pan-fried",2.15
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",2.63
746783,"Sausage, turkey, breakfast links, mild, raw",0.93
2515380,"Seeds, pumpkin seeds (pepitas), raw",18.7
325524,"Seeds, sunflower seed kernels, dry roasted, with salt added",17.1
2515381,"Seeds, sunflower seed, kernel, raw",24.5
2262073,"Sesame butter, creamy",14.2
2727586,"Shallots, bulb, peeled, root removed, raw",
2710839,"Sorghum bran, white, unenriched, dry, raw",68.7
2710840,"Sorghum flour, white, pearled, unenriched, dry, raw",73.5
2710841,"Sorghum grain, white, pearled, unenriched, dry, raw",74.9
2710842,"Sorghum, whole grain, white, dry, raw",73.6
2257044,"Soy milk, sweetened, plain, refrigerated",3.0
1999630,"Soy milk, unsweetened, plain, shelf stable",1.29
1999633,"Spinach",2.64
2727578,"Squash, pie pumpkin, peeled, seeded, raw",
2727579,"Squash, spaghetti, peeled, seeded, raw",
2685568,"Squash, summer, green, zucchini, includes skin, raw",3.27
2685569,"Squash, summer, yellow, includes skin, raw",4.39
